Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.15367,0.070407,0.50044,0,0,0,428.06,380.11,-0.043314,0.84416,814.64,0.012176,434.66,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/base_link.STL,,Base^robot_arm_description-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bottom_link,-0.0011256,0.15876,0.042405,0,0,0,70.673,2.1518,0.00070753,0.022542,2.2025,0.060796,1.7401,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/bottom_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/bottom_link.STL,,01. BASE-1,Origin_joint1,Axis1,joint1,fixed,0.14947,-0.50162,0.14199,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
body_Link,0.1401,0.21843,-0.049903,0,0,0,33.409,0.57464,-0.22145,-0.0048455,0.63432,-0.0018766,0.80826,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/body_Link.STL,1,0.51373,0.15294,1,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/body_Link.STL,,02. body-1;Servomotor1-2;Servomotor1-1,Origin_joint2,Axis1,joint2,revolute,0,0.33819,0,3.1416,0,3.1416,bottom_link,0,-1,0,0,0,-4.7124,1.5708,,,,,,,,
lowerarm_Link,0.00018007,0.3052,0.11008,0,0,0,13.966,0.59485,-0.00065844,0.00020828,0.059467,-0.026597,0.59476,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/lowerarm_Link.STL,0.9098,0.44314,0.031373,1,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/lowerarm_Link.STL,,03. Lower Arm-1,Origin_joint3,Axis2,joint3,revolute,0.26,0.30681,0.0525,0,0,-0.5236,body_Link,0,0,-1,0,0,-4.1888,2.0944,,,,,,,,
upperarm_Link,-0.073655,-0.015418,0.074863,0,0,0,14.959,0.062607,-0.0092493,0.022096,0.44316,0.0038154,0.45032,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/upperarm_Link.STL,0.9098,0.44314,0.031373,1,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/upperarm_Link.STL,,04. Upper Arm-1;Servomotor2-1;Servomotor3-1;Servomotor3-2;Servomotor3-4,Origin_joint4,Axis3,joint4,revolute,0,0.68,0,-3.1416,0,-3.1416,lowerarm_Link,0,0,-1,0,0,-4.7124,1.5708,,,,,,,,
revolver_Link,0.0059449,0.086287,0.14945,0,0,0,2.4,0.01428,-0.00060917,-0.0010551,0.011919,-0.0043529,0.0068929,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/revolver_Link.STL,0.9098,0.44314,0.031373,1,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/revolver_Link.STL,,05. Revolver-1,Origin_joint5,Axis4,joint5,revolute,-0.41081,-0.0225,0.078,2.618,-1.5708,0,upperarm_Link,0,0.5,0.86603,0,0,-4.7124,1.5708,,,,,,,,
wrist_Link,-0.0018737,-2.1137E-07,0.057608,0,0,0,1.8391,0.0057941,1.1297E-08,0.00010809,0.011847,-2.1919E-08,0.0090146,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/wrist_Link.STL,0.9098,0.44314,0.031373,1,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/wrist_Link.STL,,06. Wrist-1,Origin_joint6,Axis5,joint6,revolute,0,0.12785,0.22144,0.5236,0,0,revolver_Link,-1,0,0,0,0,-5.7596,0.5236,,,,,,,,
jawgripper_Link,0.019713,0.060787,0.072878,0,0,0,0.29125,0.00011202,1.4665E-07,5.5249E-08,0.00013328,-4.7653E-08,0.00011217,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/jawgripper_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot_arm_description.SLDASM/meshes/jawgripper_Link.STL,,Jaw Gripper-1,Origin_joint7,Axis6,joint7,fixed,-0.030869,-0.070553,0.17679,1.5708,0,2.5133,wrist_Link,0,0,0,,,,,,,,,,,,
